subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron  ,"a   modern river in Acarnania ( Epirus ) , which occasion- ally   runs   underground", is ,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron   is   also   the   name   of   a   modern river in acarnania ( epirus ) , which occasion- ally   runs   underground .  ===near   its   mouth there   was   a   famous   oracle   of   the   dead ,   at ephyra , where mortals could obtain advice from   the   gods   of   the   underworld .  ","Acheron | nsubj | PROPN | [ ]
by | prep | ADP | [Demeter]
Demeter | pobj | PROPN | []
for | prep | ADP | [revealing]
revealing | pcomp | VERB | [seen]
that | mark | ADP | []
he | nsubj | PRON | []
had | aux | VERB | []
seen | ccomp | VERB | [that, he, had, eat]
Persephone | nsubj | PROPN | []
eat | ccomp | VERB | [Persephone, in]
while | mark | ADP | []
in | prep | ADP | [while, Underworld]
the | det | DET | []
Underworld | pobj | PROPN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,some,was
Troy (he),the city of Alba Longa ( c. 1152 B.C. ), was ,"however ,   as   some   sources   give ascanius ’s mother as lavinia , he might have been born after his father had arrived in italy and   therefore   could   not   have   been   at   troy .===thirty years after aeneas ’s arrival in italy he was to found the city of alba longa ( c. 1152 b.c. ) on the site where aeneas had come across a white sow and her 30 piglets , as foretold in the prophecy of helenus .===the city was ruled by his descendants for some 300 years .  ","Thirty | nummod | NUM | []
years | npadvmod | NOUN | [Thirty]
after | prep | ADP | [arrival]
Aeneas | poss | PROPN | [’s]
’s | case | PART | []
arrival | pobj | NOUN | [Aeneas, in]
in | prep | ADP | [Italy]
Italy | pobj | PROPN | []
he | nsubj | PRON | []
was | ROOT | VERB | [years, after, he, found, .]
to | aux | PART | []
found | xcomp | VERB | [to, city, on]
the | det | DET | []
city | dobj | NOUN | [the, of]
of | prep | ADP | [Longa]
Alba | compound | PROPN | []
Longa | pobj | PROPN | [Alba, (, B.C., )]
( | punct | PUNCT | []
c. | nmod | PROPN | []
1152 | nummod | NUM | []
B.C. | appos | PROPN | [c., 1152]
) | punct | PUNCT | []
on | prep | ADP | [site]
the | det | DET | []
site | pobj | NOUN | [the, come]
where | advmod | ADV | []
Aeneas | nsubj | PROPN | []
had | aux | VERB | []
come | relcl | VERB | [where, Aeneas, had, across, ,, foretold]
across | prep | ADP | [sow]
a | det | DET | []
white | amod | ADJ | []
sow | pobj | NOUN | [a, white, and, piglets]
and | cc | CCONJ | []
her | poss | ADJ | []
30 | nummod | NUM | []
piglets | conj | NOUN | [her, 30]
, | punct | PUNCT | []
as | mark | ADP | []
foretold | advcl | VERB | [as, in]
in | prep | ADP | [prophecy]
the | det | DET | []
prophecy | pobj | NOUN | [the, of]
of | prep | ADP | [Helenus]
Helenus | pobj | PROPN | []
. | punct | PUNCT | []",he,city,was
"Aesculapius ,   Asclepius ,   Aesclepius , Asculepius ,   Aesculepius ,   Asclapius ,   Aes- clapius ,","related   to   the   word   ascalaphos , “ a lizard",may be ,"greek  ===also : aesculapius ,   asclepius ,   aesclepius , asculepius ,   aesculepius ,   asclapius ,   aes- clapius , asculapius   a god of medicine whose name , it appears , may   be   related   to   the   word   ascalaphos , “ a lizard .===”","Also | advmod | ADV | []
: | punct | PUNCT | []
Aesculapius | nsubj | PROPN | [,, Asclepius, ,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Asclepius | appos | PROPN | [,, Aesclepius]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Aesclepius | conj | PROPN | [,, Asculepius]
, | punct | PUNCT | []
Asculepius | conj | PROPN | [,, Aesculepius]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Aesculepius | conj | PROPN | [,, Asclapius]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Asclapius | conj | PROPN | [,, clapius]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Aes- | nummod | PROPN | []
clapius | conj | NOUN | [Aes-]
, | punct | PUNCT | []
Asculapius | nsubj | PROPN | [ , god]
  |  | SPACE | []
A | det | NOUN | []
god | appos | NOUN | [A, of, appears, ,]
of | prep | ADP | [medicine]
medicine | pobj | NOUN | []
whose | poss | ADJ | []
name | attr | NOUN | [whose]
, | punct | PUNCT | []
it | nsubj | PRON | []
appears | relcl | VERB | [name, ,, it]
, | punct | PUNCT | []
may | aux | VERB | [ ]
  |  | SPACE | []
be | ROOT | VERB | [Also, :, Aesculapius, Asculapius, may,  , word, .]
  |  | SPACE | []
related | amod | VERB | [ , to]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
word | attr | NOUN | [related, the,  , ascalaphos]
  |  | SPACE | []
ascalaphos | appos | NOUN | [,, “, lizard]
, | punct | PUNCT | []
“ | appos | ADV | []
a | det | DET | []
lizard | appos | NOUN | [a]
. | punct | PUNCT | []",Aesculapius,word,be
Pergamum (he),"the son of Apollo and the nymph Coronis raised by the wise centaur Cheiron , who taught him the arts of healing", was ,"the remains   of   these   centers   are   extensive   at epidaurus   and   pergamum   and   include ,   in each case , a fine theater .  ===according to some traditions , he was the son of apollo and the nymph coronis raised by the wise centaur cheiron , who taught him the arts of healing .===in other traditions , homer included , he   was   not   a   god  ","According | prep | VERB | [to]
to | prep | ADP | [traditions]
some | det | DET | []
traditions | pobj | NOUN | [some]
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [According, ,, he, son, .]
the | det | DET | []
son | attr | NOUN | [the, of, and, Coronis]
of | prep | ADP | [Apollo]
Apollo | pobj | PROPN | []
and | cc | CCONJ | []
the | det | DET | []
nymph | compound | NOUN | []
Coronis | conj | NOUN | [the, nymph, raised]
raised | acl | VERB | [by]
by | agent | ADP | [Cheiron]
the | det | DET | []
wise | amod | ADJ | []
centaur | compound | NOUN | []
Cheiron | pobj | PROPN | [the, wise, centaur, ,, taught]
, | punct | PUNCT | []
who | nsubj | NOUN | []
taught | relcl | VERB | [who, him, arts]
him | dative | PRON | []
the | det | DET | []
arts | dobj | NOUN | [the, of]
of | prep | ADP | [healing]
healing | pobj | NOUN | []
. | punct | PUNCT | []",he,son,was
Phrixus (he),"the   god , Hermes  ", been ,"she roasted the corn seed so that the crops failed , and when athamas sent to delphi to find out how to appease the gods , ino bribed the returning messengers to say that the god had   ordered   the   sacrifice   of   phrixus .  ===just   as athamas was about to carry out the sacrifice he   thought   had   been   ordered   by   the   god , hermes   sent   a   winged   ram   that   carried phrixus and helle away on its back .===helle fell off   on   the   journey   into   the   stretch   of   water that   was   thenceforth   known   as   the   helles- pont ,   but   phrixus   reached   the   safety   of colchis , where he sacrificed the ram to zeus and gave the fleece to aeëtes , who hung it in a grove sacred to hermes , and there the fleece turned   to   gold .  ","Just | advmod | ADV | [ , was]
  |  | SPACE | []
as | mark | ADP | []
Athamas | nsubj | PROPN | []
was | advcl | VERB | [as, Athamas, about]
about | acomp | ADJ | [carry]
to | aux | PART | []
carry | xcomp | VERB | [to, out, sacrifice]
out | prt | PART | []
the | det | DET | []
sacrifice | dobj | NOUN | [the, thought]
he | nsubj | PRON | [ ]
  |  | SPACE | []
thought | relcl | NOUN | [he,  , had]
  |  | SPACE | []
had | ccomp | VERB | [ ]
  |  | SPACE | []
been | ROOT | VERB | [Just,  , ordered, sent, .]
  |  | SPACE | []
ordered | dep | VERB | [ , by, god]
  |  | SPACE | []
by | prep | ADP | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
god | dobj | NOUN | [the, ,, Hermes]
, | punct | PUNCT | []
Hermes | appos | PROPN | [ ]
  |  | SPACE | []
sent | dep | VERB | [ , ram]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
winged | amod | ADJ | [ ]
  |  | SPACE | []
ram | dobj | NOUN | [a, winged,  , carried]
  |  | SPACE | []
that | mark | ADJ | [ ]
  |  | SPACE | []
carried | relcl | VERB | [that, Phrixus, away]
Phrixus | dobj | PROPN | [and, Helle]
and | cc | CCONJ | []
Helle | conj | PROPN | []
away | advmod | ADV | [on]
on | prep | ADP | [back]
its | poss | ADJ | []
back | pobj | NOUN | [its]
. | punct | PUNCT | []",he,god,been
Athene (she),"an   urban ,   civilized   god- dess ,   which   accounted   for   her   popularity among the people", was ,"thus   the   complex   pallas   athene was not only the patroness of women ’s arts , such   as   weaving ,   protectress   of   agriculture , and inventor of plough , rake , and ox - yoke but also a formidable warrior and a wise , able tac- tician .  ===yet   she   was   an   urban ,   civilized   god- dess ,   which   accounted   for   her   popularity among the people .  ===the   centers   of   her   cult   were   attica   and athens ,   her   chief   cult   center ,   where   she   was worshipped as polias ( of the city ) , poliouchos ( protector of the city ) , parthenos ( virgin ) , and promachos   ( defender ) .  ","Yet | advmod | ADV | [ ]
  |  | SPACE | []
she | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Yet, she,  , urban, .]
  |  | SPACE | []
an | det | DET | [ ]
  |  | SPACE | []
urban | attr | ADJ | [an, ,, dess, accounted]
, | punct | PUNCT | [ ]
  |  | SPACE | []
civilized | amod | ADJ | [ ]
  |  | SPACE | []
god- | amod | NOUN | []
dess | appos | NOUN | [civilized, god-, ,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
which | nsubj | ADJ | [ ]
  |  | SPACE | []
accounted | relcl | VERB | [which,  , for]
  |  | SPACE | []
for | prep | ADP | [ , popularity]
  |  | SPACE | []
her | poss | PRON | [ ]
  |  | SPACE | []
popularity | pobj | NOUN | [her, among]
among | prep | ADP | [people]
the | det | DET | []
people | pobj | NOUN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,urban,was
Eumenides (she),one   of   three   goddesses   ( with Hera and Aphrodite ) who vied for ownership of the golden Apple of Discord that the venge- ful Eris threw into the gathered congregation, was ,"”  ===when   athene   attended   the   wedding   of peleus and thetis with all the other gods ( save eris ) ,   she   was   one   of   three   goddesses   ( with hera and aphrodite ) who vied for ownership of the golden apple of discord that the venge- ful eris threw into the gathered congregation .===zeus   decreed   that   to   solve   the   problem hermes   should   lead   the   three   goddesses   to mount ida for paris to judge the dispute .  ","When | advmod | ADV | [ ]
  |  | SPACE | []
Athene | nsubj | PROPN | [ ]
  |  | SPACE | []
attended | advcl | VERB | [When, Athene,  , wedding, with, ,]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
wedding | dobj | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [Peleus]
Peleus | pobj | PROPN | [and, Thetis]
and | cc | CCONJ | []
Thetis | conj | PROPN | []
with | prep | ADP | [gods]
all | predet | ADJ | []
the | det | DET | []
other | amod | ADJ | []
gods | pobj | NOUN | [all, the, other, save]
( | punct | PUNCT | []
save | parataxis | VERB | [(, Eris, )]
Eris | dobj | PROPN | []
) | punct | PUNCT | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
she | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [attended, she,  , one, .]
  |  | SPACE | []
one | attr | NUM | [ , of, with, threw]
  |  | SPACE | []
of | prep | ADP | [ , goddesses]
  |  | SPACE | []
three | nummod | NUM | [ ]
  |  | SPACE | []
goddesses | pobj | NOUN | [three,  , (]
  |  | SPACE | []
( | punct | PUNCT | []
with | prep | ADP | [Hera]
Hera | pobj | PROPN | [and, Aphrodite, ), vied]
and | cc | CCONJ | []
Aphrodite | conj | PROPN | []
) | punct | PUNCT | []
who | nsubj | NOUN | []
vied | relcl | VERB | [who, for]
for | prep | ADP | [ownership]
ownership | pobj | NOUN | [of]
of | prep | ADP | [Apple]
the | det | DET | []
golden | amod | ADJ | []
Apple | pobj | PROPN | [the, golden, of]
of | prep | ADP | [Discord]
Discord | pobj | PROPN | []
that | dobj | ADJ | []
the | det | DET | []
venge- | amod | NOUN | []
ful | amod | ADJ | [venge-]
Eris | nsubj | PROPN | [the, ful]
threw | relcl | VERB | [that, Eris, into]
into | prep | ADP | [congregation]
the | det | DET | []
gathered | amod | VERB | []
congregation | pobj | NOUN | [the, gathered]
. | punct | PUNCT | []",she,one,was
Atlas  ,situated   in   North Africa and identified with Mount Atlas, was ,"his name means “ much endur- ing , ”   and   his   task — a   punishment ,   according to hesiod , for leading the titans who revolted against   the   gods — was   to   hold   the   sky   upon his   shoulders .  ===atlas   was   situated   in   north africa and identified with mount atlas .===this task is also found in hittite mythology , where upelluri   is   the   giant   yoked   with   the   labor .","Atlas | nsubj | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Atlas,  , situated, .]
  |  | SPACE | []
situated | acomp | VERB | [ , in, and, identified]
  |  | SPACE | []
in | prep | ADP | [ , Africa]
  |  | SPACE | []
North | compound | PROPN | []
Africa | pobj | PROPN | [North]
and | cc | CCONJ | []
identified | conj | VERB | [with]
with | prep | ADP | [Atlas]
Mount | compound | PROPN | []
Atlas | pobj | PROPN | [Mount]
. | punct | PUNCT | []",Atlas,situated,was
Upelluri (he),a   marine   being who   supported   the   pillars   that   divided Heaven and Earth, was ,"this task is also found in hittite mythology , where upelluri   is   the   giant   yoked   with   the   labor .===according   to   homer   he   was   a   marine   being who   supported   the   pillars   that   divided heaven and earth .===this view is enhanced by the legend that he gave shelter to amphitrite , who had fled to him to escape the advances and proposals of poseidon .  ","According | prep | VERB | [ , to]
  |  | SPACE | []
to | prep | ADP | [ , Homer]
  |  | SPACE | []
Homer | pobj | PROPN | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [According, he,  , being, .]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
marine | amod | NOUN | [ ]
  |  | SPACE | []
being | attr | VERB | [a, marine, supported]
who | nsubj | NOUN | [ ]
  |  | SPACE | []
supported | relcl | VERB | [who,  , pillars]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
pillars | dobj | NOUN | [the,  , Heaven]
  |  | SPACE | []
that | preconj | ADJ | [ ]
  |  | SPACE | []
divided | amod | VERB | []
Heaven | appos | PROPN | [that, divided, and, Earth]
and | cc | CCONJ | []
Earth | conj | PROPN | []
. | punct | PUNCT | []",he,being,was
Hermes  ,the god of thieves, was ,"he   was   an   accomplished   thief  ===( hermes   was the god of thieves ) and trickster , and using the gift   from   his   father   he   committed   numerous crimes against sisyphus , stealing a large part of his herds .===sisyphus then marked the hooves of the   remaining   cattle   and   thereby   caught   the thief .","( | punct | PUNCT | []
Hermes | nsubj | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [(, Hermes, god, ), and, trickster, committed, .]
the | det | DET | []
god | attr | NOUN | [the, of]
of | prep | ADP | [thieves]
thieves | pobj | NOUN | []
) | punct | PUNCT | []
and | cc | CCONJ | []
trickster | conj | NOUN | [,, and, using]
, | punct | PUNCT | []
and | cc | CCONJ | []
using | conj | VERB | [gift, from]
the | det | DET | []
gift | dobj | NOUN | [the,  ]
  |  | SPACE | []
from | prep | ADP | [ , father]
  |  | SPACE | []
his | poss | ADJ | [ ]
  |  | SPACE | []
father | pobj | NOUN | [his,  , he]
  |  | SPACE | []
he | appos | PRON | [ ]
  |  | SPACE | []
committed | conj | VERB | [ , crimes, ,, stealing]
  |  | SPACE | []
numerous | amod | ADJ | []
crimes | dobj | NOUN | [numerous, against]
against | prep | ADP | [Sisyphus]
Sisyphus | pobj | PROPN | []
, | punct | PUNCT | []
stealing | advcl | VERB | [part]
a | det | DET | []
large | amod | ADJ | []
part | dobj | NOUN | [a, large, of]
of | prep | ADP | [herds]
his | poss | ADJ | []
herds | pobj | NOUN | [his]
. | punct | PUNCT | []",Hermes,god,was
Greek (he),the countryside of Lycia, was ,"the letter said to have been carried by bellerophon is   the   earliest   reference   in   greek   literature   to writing .===iobates likewise shrank from killing a guest and decided that he would let fate take a hand   by   sending   bellerophon   to   kill   the chimaera ,   a   fire - breathing   monster   with   a lion ’s head , goat ’s body , and serpent ’s tail , said to be the offspring of echidne and typhon ; at that   time ,   the   chimaera   was   ravaging   the countryside of lycia .   ===seeking advice from the gods , bellerophon succeeded   in   trapping   the   winged   horse pegasus beside the fountain of pirene on the acropolis   at   athens .  ","Iobates | nsubj | NOUN | []
likewise | advmod | ADV | []
shrank | ccomp | VERB | [Iobates, likewise, from, and, decided, said, ;, Chimaera]
from | prep | ADP | [killing]
killing | pcomp | VERB | [guest]
a | det | DET | []
guest | dobj | NOUN | [a]
and | cc | CCONJ | []
decided | conj | VERB | [let]
that | mark | ADP | []
he | nsubj | PRON | []
would | aux | VERB | []
let | ccomp | VERB | [that, he, would, take]
fate | nsubj | NOUN | []
take | ccomp | VERB | [fate, hand, by]
a | det | DET | []
hand | dobj | NOUN | [a,  ]
  |  | SPACE | []
by | prep | ADP | [ , sending]
  |  | SPACE | []
sending | pcomp | VERB | [ , Bellerophon, to, kill]
  |  | SPACE | []
Bellerophon | dobj | PROPN | [ ]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
kill | advcl | NOUN | [ , Chimaera]
  |  | SPACE | []
the | det | DET | []
Chimaera | appos | PROPN | [the, ,, monster]
, | punct | PUNCT | [ ]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
fire | npadvmod | NOUN | []
