subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron,"the name of a modern river in Acarnania ( Epirus ) , which occasion- ally runs underground", is also,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron is also the name of a modern river in acarnania ( epirus ) , which occasion- ally runs underground .===near its mouth there was a famous oracle of the dead , at ephyra , where mortals could obtain advice from the gods of the underworld .","Acheron | nsubj | PROPN | []
to | prep | ADP | [god]
the | det | DET | []
god | pobj | NOUN | [the]
and | cc | CCONJ | []
made | conj | VERB | [love, to]
love | dobj | NOUN | []
to | prep | ADP | [Ischys]
the | det | DET | []
mortal | amod | ADJ | []
Ischys | pobj | PROPN | [the, mortal]
. | punct | PUNCT | []",her,unfaithful,was
"Famous in classical times as one of    94 Cottus   the main cult centers of Asclepios , the remains of the Asclepieion",three terraces, are there on,"cos greek   one of the islands of the sporades off caria in asia minor .===famous in classical times as one of    94 cottus   the main cult centers of asclepios , the remains of the asclepieion are there on three terraces and include temples and a medical school .===hippocrates was born there c. 460 b.c.  ","Famous | nsubj | ADJ | [in]
in | prep | ADP | [times]
classical | amod | ADJ | []
times | pobj | NOUN | [classical, as]
as | prep | ADP | [one]
one | pobj | NUM | [of]
of | prep | ADP | [  , Cottus]
   |  | SPACE | []
94 | nummod | NUM | []
Cottus | pobj | PROPN | [94,  , centers]
  |  | SPACE | []
the | det | DET | []
main | amod | ADJ | []
cult | compound | NOUN | []
centers | appos | NOUN | [the, main, cult, of, ,, remains]
of | prep | ADP | [Asclepios]
Asclepios | pobj | PROPN | []
, | punct | PUNCT | []
the | det | DET | []
remains | appos | NOUN | [the, of]
of | prep | ADP | [Asclepieion]
the | det | DET | []
Asclepieion | pobj | PROPN | [the]
are | ROOT | VERB | [Famous, there, on, and, include, .]
there | advmod | ADV | []
on | prep | ADP | [terraces]
three | nummod | NUM | []
terraces | pobj | NOUN | [three]
and | cc | CCONJ | []
include | conj | VERB | [temples]
temples | dobj | NOUN | [and, school]
and | cc | CCONJ | []
a | det | DET | []
medical | amod | ADJ | []
school | conj | NOUN | [a, medical]
. | punct | PUNCT | []",Famous,terraces,are
Minos,so delighted by the magnificent creature that he substituted an inferior beast for the sacrifice, was so,a magnificent white bull that was given to minos by poseidon for sacrifice in recognition of minos ’s position as the sole ruler of crete .===minos was so delighted by the magnificent creature that he substituted an inferior beast for the sacrifice .===later the bull ran savage and ravaged the island until it was captured single- handedly by heracles as the seventh of his great labors .,"Minos | nsubj | PROPN | []
was | ROOT | VERB | [Minos, delighted, .]
so | advmod | ADV | []
delighted | acomp | ADJ | [so, by]
by | agent | ADP | [creature]
the | det | DET | []
magnificent | amod | ADJ | []
creature | pobj | NOUN | [the, magnificent, substituted]
that | mark | ADJ | []
he | nsubj | PRON | []
substituted | relcl | VERB | [that, he, beast]
an | det | DET | []
inferior | amod | ADJ | []
beast | dobj | NOUN | [an, inferior, for]
for | prep | ADP | [sacrifice]
the | det | DET | []
sacrifice | pobj | NOUN | [the]
. | punct | PUNCT | []",Minos,delighted,was
centaur (she),a fertility goddess,was worshipped as,"according to hesiod , it was the island near to which aphrodite was born from the sea that had been fertilized with blood dripping from the wound inflicted on uranos by cronos .===she was said to have traveled straight to paphos on the island , one of the most important cen- ters of her cult ; there she was worshipped as a fertility goddess , and from there the phoeni- cians took her worship to cythera .  ===cyrene greek  ","She | nsubjpass | PRON | []
was | auxpass | VERB | []
said | ccomp | VERB | [She, was, traveled]
to | aux | PART | []
have | aux | VERB | []
traveled | xcomp | VERB | [to, have, straight, to, on, ,, one]
straight | advmod | ADV | []
to | prep | ADP | [Paphos]
Paphos | pobj | PROPN | []
on | prep | ADP | [island]
the | det | DET | []
island | pobj | NOUN | [the]
, | punct | PUNCT | []
one | npadvmod | NUM | [of]
of | prep | ADP | [ters]
the | det | DET | []
most | advmod | ADV | []
important | amod | ADJ | [most]
cen- | compound | NOUN | []
ters | pobj | NOUN | [the, important, cen-, of]
of | prep | ADP | [cult]
her | poss | ADJ | []
cult | pobj | NOUN | [her]
; | punct | PUNCT | []
there | advmod | ADV | []
she | nsubjpass | PRON | []
was | auxpass | VERB | []
worshipped | ROOT | VERB | [said, ;, there, she, was, as, ,, and, took]
as | prep | ADP | [goddess]
a | det | DET | []
fertility | compound | NOUN | []
goddess | pobj | NOUN | [a, fertility]
, | punct | PUNCT | []
and | cc | CCONJ | []
from | prep | ADP | [there]
there | pcomp | ADV | []
the | det | DET | []
Phoeni- | compound | PROPN | []
cians | nsubj | NOUN | [the, Phoeni-]
took | conj | VERB | [from, cians, worship, to, .]
her | poss | ADJ | []
worship | dobj | NOUN | [her]
to | dative | ADP | [Cythera]
Cythera | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,goddess,worshipped
Demeter,"Triptolemus , another of Celeus ’s sons , all the arts of agriculture", taught ,"as a result zeus decreed that for a third of the year , some sources say six months , persephone would dwell in the underworld ; the remainder of the year would be spent with her mother on earth .===before leaving eleusis , demeter taught triptolemus , another of celeus ’s sons , all the arts of agriculture and lent him her dragon chariot , which triptolemus used to travel over all earth , teaching people how to grow and harvest crops wherever he went .===this myth originates in the most primitive rites of the seasons , of seedtime and harvest , during an age when only women practiced the arts of agriculture .  ","Before | prep | ADP | [leaving]
leaving | pcomp | VERB | [Eleusis]
Eleusis | dobj | PROPN | []
, | punct | PUNCT | []
Demeter | nsubj | PROPN | []
taught | ROOT | VERB | [Before, ,, Demeter, Triptolemus, and, lent, .]
Triptolemus | dobj | PROPN | [,, another]
, | punct | PUNCT | []
another | appos | DET | [of]
of | prep | ADP | [sons]
Celeus | poss | PROPN | [’s]
’s | case | PART | []
sons | pobj | NOUN | [Celeus, ,, arts]
, | punct | PUNCT | []
all | predet | ADJ | []
the | det | DET | []
arts | appos | NOUN | [all, the, of]
of | prep | ADP | [agriculture]
agriculture | pobj | NOUN | []
and | cc | CCONJ | []
lent | conj | VERB | [him, chariot, teaching]
him | dative | PRON | []
her | poss | ADJ | []
dragon | compound | NOUN | []
chariot | dobj | NOUN | [her, dragon, ,, used, ,]
, | punct | PUNCT | []
which | dobj | ADJ | []
Triptolemus | nsubj | PROPN | []
used | relcl | VERB | [Triptolemus, travel]
to | aux | PART | []
travel | xcomp | VERB | [which, to, over]
over | prep | ADP | [earth]
all | det | DET | []
earth | pobj | NOUN | [all]
, | punct | PUNCT | []
teaching | conj | VERB | [people, grow]
people | dobj | NOUN | []
how | advmod | ADV | []
to | aux | PART | []
grow | xcomp | VERB | [how, to, and, harvest]
and | cc | CCONJ | []
harvest | conj | VERB | [crops, went]
crops | dobj | NOUN | []
wherever | advmod | ADV | []
he | nsubj | PRON | []
went | advcl | VERB | [wherever, he]
. | punct | PUNCT | []",Demeter,Triptolemus,taught
her time on earth with Demeter,the growing season, was ,"this myth originates in the most primitive rites of the seasons , of seedtime and harvest , during an age when only women practiced the arts of agriculture .  ===her time spent with hades was taken to represent the winter , when foliage would die and nothing would grow ; her time on earth with demeter was the growing season .===in addition to the eleusinia the other major festi- val to demeter , celebrated in and around athens , was the women ’s festival of the thesmaphoria .  ","Her | poss | ADJ | []
time | nsubjpass | NOUN | [Her, spent]
spent | acl | VERB | [with]
with | prep | ADP | [Hades]
Hades | pobj | PROPN | []
was | auxpass | VERB | []
taken | ccomp | VERB | [time, was, represent, die]
to | aux | PART | []
represent | advcl | VERB | [to, winter]
the | det | DET | []
winter | dobj | NOUN | [the, ,]
, | punct | PUNCT | []
when | advmod | ADV | []
foliage | nsubj | NOUN | []
would | aux | VERB | []
die | advcl | VERB | [foliage, would, and, grow]
and | cc | CCONJ | []
nothing | nsubj | NOUN | []
would | aux | VERB | []
grow | conj | VERB | [when, nothing, would]
; | punct | PUNCT | []
her | poss | ADJ | []
time | nsubj | NOUN | [her, on, with]
on | prep | ADP | [earth]
earth | pobj | NOUN | []
with | prep | ADP | [Demeter]
Demeter | pobj | PROPN | []
was | ROOT | VERB | [taken, ;, time, season, .]
the | det | DET | []
growing | amod | VERB | []
season | attr | NOUN | [the, growing]
. | punct | PUNCT | []",time,season,was
the other major festi- val to Demeter,the Thesmaphoria, was ,"her time spent with hades was taken to represent the winter , when foliage would die and nothing would grow ; her time on earth with demeter was the growing season .===in addition to the eleusinia the other major festi- val to demeter , celebrated in and around athens , was the women ’s festival of the thesmaphoria .  ===in art demeter is usually depicted as a mature women with a kindly expression , bountiful and gentle .","In | prep | ADP | [addition]
addition | pobj | NOUN | [to]
to | prep | ADP | [Eleusinia]
the | det | DET | []
Eleusinia | pobj | PROPN | [the]
the | det | DET | []
other | amod | ADJ | []
major | amod | ADJ | []
festi- | compound | NOUN | []
val | nsubj | NOUN | [the, other, major, festi-, to]
to | prep | ADP | [Demeter]
Demeter | pobj | PROPN | []
, | punct | PUNCT | []
celebrated | ccomp | VERB | [In, val, ,, in]
in | prep | ADP | [and, around]
and | cc | CCONJ | []
around | conj | ADP | [Athens]
Athens | pobj | PROPN | []
, | punct | PUNCT | []
was | ROOT | VERB | [celebrated, ,, festival, .]
the | det | DET | []
women | poss | NOUN | [the, ’s]
’s | case | PART | []
festival | nsubj | NOUN | [women, of]
of | prep | ADP | [Thesmaphoria]
the | det | DET | []
Thesmaphoria | pobj | PROPN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",val,Thesmaphoria,was
the temple of Apollo,most impressive, is still most,", didyma boasted one of the most important oracular shrines of apollo in the eastern part of the ancient greek world , the equivalent of delphi in the west .===today the temple of apollo is still most impressive , having the tallest columns in the greek world .  ===dikt ~ aean , ~aion cave   greek variant of dictaean cave .  ","Today | npadvmod | NOUN | []
the | det | DET | []
temple | nsubj | NOUN | [the, of]
of | prep | ADP | [Apollo]
Apollo | pobj | PROPN | []
is | ROOT | VERB | [Today, temple, still, impressive, ,, having, .]
still | advmod | ADV | []
most | advmod | ADV | []
impressive | acomp | ADJ | [most]
, | punct | PUNCT | []
having | advcl | VERB | [columns]
the | det | DET | []
tallest | amod | ADJ | []
columns | dobj | NOUN | [the, tallest, in]
in | prep | ADP | [world]
the | det | DET | []
Greek | amod | ADJ | []
world | pobj | NOUN | [the, Greek]
. | punct | PUNCT | [ ]
  |  | SPACE | []",temple,impressive,is
"Agave ; Bacchus ; Eleusis ; Hestia ; Midas ; Silenus   Dionysus of Halicarnassus   Greco - Roman   Greek critic , historian , and rhetorician",the only remaining sources of Etruscan mythology, are among,"see also :===agave ; bacchus ; eleusis ; hestia ; midas ; silenus   dionysus of halicarnassus   greco - roman   greek critic , historian , and rhetorician whose fragmentary works , along with those of diodorus the sicilian , livy , and virgil , are among the only remaining sources of etruscan mythology .===flourishing in the first century b.c. , he lived and worked in rome from c. 30","Agave | nsubj | NOUN | [;, Bacchus]
; | punct | PUNCT | []
Bacchus | conj | PROPN | [;, Eleusis]
; | punct | PUNCT | []
Eleusis | conj | PROPN | [;, Hestia]
; | punct | PUNCT | []
Hestia | conj | PROPN | [;, Midas]
; | punct | PUNCT | []
Midas | conj | PROPN | [;, Silenus]
; | punct | PUNCT | []
Silenus | conj | PROPN | [ , Dionysus]
  |  | SPACE | []
Dionysus | appos | PROPN | [of]
of | prep | ADP | [Halicarnassus]
Halicarnassus | pobj | PROPN | [ , Roman]
  |  | SPACE | []
Greco | compound | PROPN | []
- | punct | PUNCT | []
Roman | appos | PROPN | [Greco, -,  , critic]
  |  | SPACE | []
Greek | amod | ADJ | []
critic | appos | NOUN | [Greek, ,, historian]
, | punct | PUNCT | []
historian | appos | NOUN | [,, and, rhetorician]
, | punct | PUNCT | []
and | cc | CCONJ | []
rhetorician | conj | NOUN | []
whose | poss | ADJ | []
fragmentary | amod | ADJ | []
works | attr | NOUN | [whose, fragmentary]
, | punct | PUNCT | []
along | prep | ADP | [with]
with | prep | ADP | [those]
those | pobj | DET | [of]
of | prep | ADP | [Diodorus]
Diodorus | pobj | PROPN | [Sicilian]
the | det | DET | []
Sicilian | appos | PROPN | [the, ,, Livy]
, | punct | PUNCT | []
Livy | conj | PROPN | [,, and, Virgil]
, | punct | PUNCT | []
and | cc | CCONJ | []
Virgil | conj | PROPN | []
, | punct | PUNCT | []
are | ROOT | VERB | [Agave, works, ,, along, ,, among, .]
among | prep | ADP | [sources]
the | det | DET | []
only | amod | ADJ | []
remaining | amod | VERB | []
sources | pobj | NOUN | [the, only, remaining, of]
of | prep | ADP | [mythology]
Etruscan | amod | ADJ | []
mythology | pobj | NOUN | [Etruscan]
. | punct | PUNCT | []",Agave,sources,are
nymph (she),the Hamadryads,was carried away,"a nymph , the daughter of either eurytus of oechalia or of king dryops .===having being seduced and raped by apollo , she was carried away by the hamadryads and transformed into a lotus tree .  ===dryops greek   one of the possible fathers of dryope , the nymph who was seduced by apollo and then transformed into a lotus tree .","Having | aux | VERB | []
being | auxpass | VERB | []
seduced | advcl | VERB | [Having, being, and, raped]
and | cc | CCONJ | []
raped | conj | VERB | [by]
by | agent | ADP | [Apollo]
Apollo | pobj | PROPN | []
, | punct | PUNCT | []
she | nsubjpass | PRON | []
was | auxpass | VERB | []
carried | ROOT | VERB | [seduced, ,, she, was, away, by, and, transformed, .]
away | advmod | ADV | []
by | agent | ADP | [Hamadryads]
the | det | DET | []
Hamadryads | pobj | PROPN | [the]
and | cc | CCONJ | []
transformed | conj | VERB | [into]
into | prep | ADP | [tree]
a | det | DET | []
lotus | compound | NOUN | []
tree | pobj | NOUN | [a, lotus]
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,Hamadryads,carried
nymph (he),"the father by Praxithea of three or four sons , including Cecrops , and seven daughters : Protogonia , Pandora ( not the one who became the wife of Epimetheus ) , Procris , Chthonia , Oreithyia , Otionia , and Creusa", was ,"erechtheus   greek   king of athens ; the son of pandion and zeuxippe and grandson of erichthonius , whom he succeeded .===the brother of procne and philomela , he was the father by praxithea of three or four sons , including cecrops , and seven daughters : protogonia , pandora ( not the one who became the wife of epimetheus ) , procris , chthonia , oreithyia , otionia , and creusa .===his mythical origins are perhaps an attempt to tidy up the legendary chronology of athens , which contains the similarly named erichthonius and two named cecrops .   ","The | det | DET | []
brother | npadvmod | NOUN | [The, of]
of | prep | ADP | [Procne]
Procne | pobj | PROPN | [and, Philomela]
and | cc | CCONJ | []
Philomela | conj | PROPN | []
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [brother, ,, he, father, .]
the | det | DET | []
father | attr | NOUN | [the, by]
by | prep | ADP | [Praxithea]
Praxithea | pobj | PROPN | [of]
